Name,GEOID,totalPp,landAre,density,collgRt,uaType,lsadTyp,nps_tr_,fs_trl_,ttl_trl,Start,Nordic1,Coords1,Nordic2,Coords2,Nordic3,Coords3,nrdc1_t,nrdc2_t,nrdc3_t
"Belle Plaine, MN",6571,3808,2.59,1469,16%,C,76,0,0,0,"-93.7645883105204, 44.6200211767306",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",56.28333333,836.6,836.6
"North Brookfield, MA",63568,3805,7.83,486,10%,C,76,0,0,0,"-72.0968089368851, 42.2348931369306",Eastman,"-72.1200467, 43.4982771",Northfield Mountain,"-72.471313, 42.610827",Grafton,"-72.6146009, 43.162418",174.8,73.48333333,73.48333333
"Le Sueur, MN",49177,3800,1.84,2065,18%,C,76,0,0,0,"-93.9032137909387, 44.4618576308856",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",72.4,823.9666667,823.9666667
"Hamilton, NY",36433,3791,1.85,2052,16%,C,76,0,0,0,"-75.5440684598274, 42.826172672227",Osceola,"-75.5978854, 43.4627838",Osceola Ski and Sport,"-75.7016595, 43.5060069",Parc de la Gatineau,"-75.7724649, 45.4612618",88.06666667,82.71666667,82.71666667
"Farmington, ME",29224,3782,2.21,1711,20%,C,76,0,0,0,"-70.1488137169877, 44.6714287268446",Rangeley Lakes,"-70.561212, 44.9557018",Quarry Road,"-69.6579825, 44.5828526",Harris Farm,"-70.5744266, 43.5288109",59.65,58.65,58.65
"Plymouth, NH",70318,3763,2.31,1632,16%,C,76,0,13,13,"-71.6883285339103, 43.7672009535933",Bretton Woods,"-71.4379694, 44.2544692",Gunstock,"-71.3588827, 43.550139",Kingdom Trails,"-71.9721384, 44.5729609",57.95,50.16666667,50.16666667
"Chelan, WA",15913,3750,4.91,764,16%,C,76,0,52,52,"-120.071135676363, 47.8577148755841",Methow Trails,"-120.1823871, 48.4762676",Leavenworth,"-120.6703006, 47.5784587",Stevens Pass,"-121.0902877, 47.7451493",87.1,81.95,81.95
"Littleton, NH",50446,3739,2.53,1480,20%,C,76,0,14,14,"-71.76963833014, 44.3053038012484",Kingdom Trails,"-71.9721384, 44.5729609",Bretton Woods,"-71.4379694, 44.2544692",Eastman,"-72.1200467, 43.4982771",43.43333333,34.45,34.45
"Zimmerman, MN",98209,3712,9.44,393,12%,C,76,0,0,0,"-93.6087696698137, 45.4577097558931",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",57.86666667,909.9,909.9
"Lowville, NY",51850,3704,1.77,2089,10%,C,76,0,0,0,"-75.4865037378313, 43.7873895936829",Osceola,"-75.5978854, 43.4627838",Osceola Ski and Sport,"-75.7016595, 43.5060069",Parc de la Gatineau,"-75.7724649, 45.4612618",45.91666667,53.83333333,53.83333333
