Name,GEOID,totalPp,landAre,density,collgRt,uaType,lsadTyp,nps_tr_,fs_trl_,ttl_trl,Start,Nordic1,Coords1,Nordic2,Coords2,Nordic3,Coords3,nrdc1_t,nrdc2_t,nrdc3_t
"Charlestown, RI",15589,2717,4.19,648,17%,C,76,0,0,0,"-71.6202008720103, 41.3869110566971",Great Brook,"-71.3528633, 42.5564104",Weston,"-71.2679762, 42.3316045",Gunstock,"-71.3588827, 43.550139",141.5333333,111.0833333,111.0833333
"Livermore Falls, ME",50554,2710,2.13,1274,9%,C,76,0,5,5,"-70.1925988466904, 44.4845327531417",Rangeley Lakes,"-70.561212, 44.9557018",Harris Farm,"-70.5744266, 43.5288109",Quarry Road,"-69.6579825, 44.5828526",85.25,117.7833333,117.7833333
"Warrensburg, NY",91891,2708,1.59,1702,6%,C,76,0,5,5,"-73.7805916954354, 43.4951603215975",Mt Van Hoevenberg,"-73.9135195, 44.2244201",Cascade,"-73.9263423, 44.2412103",Garnet Hill Lodge,"-74.1073348, 43.7124281",83.18333333,84.55,84.55
"Weedsport, NY",93565,2694,1.95,1380,9%,C,76,0,1,1,"-76.5910626475312, 43.0425747972191",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",91.01666667,98.36666667,98.36666667
"Connell, WA",19666,2674,2.67,1001,9%,C,76,0,0,0,"-118.852195995079, 46.6791633016003",49 Degrees,"-117.5629318, 48.3011041",Methow Trails,"-120.1823871, 48.4762676",Mountain Gear,"-117.3226638, 47.678368",183.05,231,231
"Colfax, WA",18721,2656,1.30,2037,22%,C,76,0,2,2,"-117.364749629725, 46.8809764361802",Mountain Gear,"-117.3226638, 47.678368",49 Degrees,"-117.5629318, 48.3011041",Jug Mountain,"-116.0479775, 44.8329387",78.21666667,151.0333333,151.0333333
"Middlebury, VT",56737,2647,3.42,774,17%,C,76,0,10,10,"-73.164970726078, 44.0125626770398",Sleepy Hollow,"-73.029276, 44.352089",Catamount,"-73.048714, 44.447395",Rikert,"-72.991087, 43.954787",55.95,62.58333333,62.58333333
"Pittsfield, ME",69751,2638,1.81,1458,10%,C,76,0,0,0,"-69.3812952008194, 44.785773463958",Quarry Road,"-69.6579825, 44.5828526",Rangeley Lakes,"-70.561212, 44.9557018",Fort Kent,"-68.5879368, 47.2338001",31.4,128.3,128.3
"Vergennes, VT",90298,2636,2.46,1073,21%,C,76,0,9,9,"-73.2554067878479, 44.1669185362084",Catamount,"-73.048714, 44.447395",Sleepy Hollow,"-73.029276, 44.352089",Rikert,"-72.991087, 43.954787",49.15,42.56666667,42.56666667
"Dryden, NY",24688,2635,3.95,667,21%,C,76,0,1,1,"-76.3073916812971, 42.4931807976566",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",119.0166667,126.9666667,126.9666667
"Walton, NY",91567,2631,1.38,1902,6%,C,76,4,0,4,"-75.1302150793578, 42.169726276737",Osceola,"-75.5978854, 43.4627838",Osceola Ski and Sport,"-75.7016595, 43.5060069",Bearpen,"-74.4551101, 42.2837935",167.75,168.3833333,168.3833333
"Granville, NY--VT",34570,2584,1.98,1307,7%,C,76,0,11,11,"-73.264864541814, 43.4110311218103",Prospect,"-73.077599, 42.875404",Pineridge,"-73.4677841, 42.6909853",Notchview,"-73.1588148, 42.4764367",78.98333333,90.71666667,90.71666667
"Greenwich, NY",35515,2475,1.75,1413,14%,C,76,0,6,6,"-73.5106720955303, 43.0943736188226",Pineridge,"-73.4677841, 42.6909853",Notchview,"-73.1588148, 42.4764367",Prospect,"-73.077599, 42.875404",63.01666667,98.03333333,98.03333333
"Charlestown, NH",15562,2364,2.50,945,9%,C,76,0,12,12,"-72.4170266381591, 43.2509387701537",Woodstock,"-72.518896, 43.623174",Grafton,"-72.6146009, 43.162418",Northfield Mountain,"-72.471313, 42.610827",45.93333333,36.53333333,36.53333333
,,,,,,,,,,,,,,,,,,,,
